"Etablissement";"Siren";"Site";"Site non-trouve";"Categories";"Categorie-2";"Categorie-3";"Categorie-4";"Categorie-5";"Categorie-6";"Categorie-7";"Categorie-8";"Entreprise-de-servicesde-logistique";"Aucune-categorie"
"EXTRUSEL";344188271;"https://www.sofiproteol.com/partenaire/extrusel";;1201;;;;;;;;;
"AMPHENOL FCI BESANCON";388636896;"https://amphenol-fci-besancon.com/";;;;;;;;;;1;
"FESTINS DE BOURGOGNE";428903611;"https://festins-traiteur.fr/fr/";;;;;;;;;;1;
"FIGEAC AERO AUXERRE";824264030;"https://www.figeac-aero.com";;8207;;;;;;;;;
"BONGARD BAZOT ET FILS";631880408;"https://www.bongard-bazot.fr/";;;;;;;;;;1;
"BONGARD BAZOT ET FILS";631880408;"https://www.bongard-bazot.fr/";;;;;;;;;;1;
"ETS BERNARD BRISARD ET FILS";324895424;"https://www.brisardsa.com/";;;;;;;;;;1;
"CATTIN FILTRATION";527690416;"https://www.cattinair.fr/";;;;;;;;;;1;
"CATTIN FILTRATION";527690416;"https://www.cattinair.fr/";;8421;8414;8415;;;;;;;
"FIVES CINETIC";537120248;"https://www.fivesgroup.com/fr";;8422;;;;;;;;;
"FLERTEX";492889654;"https://flertex.fr/";;8483;6813;;;;;;;;
"FLOWBIRD";444719272;;1;;;;;;;;;;
"FLUIDEXPERT";333520468;"http://fluidexpert.fr/";;;;;;;;;;1;
"FORM'PLAST";408067262;"https://www.cpform.com";;3923;;;;;;;;;
"ALAINE FORWARDING";418114351;"https://www.alaine.fr/";;;;;;;;;;1;
"FABRIQUE FOURNITURES DE BONNETAGE";875550238;;1;;;;;;;;;;
"DELFINGEN FR-ANTEUIL";384157400;"https://delfingen.com/";;;;;;;;;;1;
"FRALSEN";325943710;"https://www.fralsen.com/";;7315;;;;;;;;;
"CHARPENTES FRANCAISES";392046983;;1;;;;;;;;;;
"ANGEL FRANCE";515720647;"https://industrie.usinenouvelle.com/fiche/etablissement/angel-france-79280569";;9508;;;;;;;;;
"FLEX-N-GATE FRANCE";443982038;"https://www.flex-n-gate.com";;8708;;;;;;;;;
"ESE FRANCE";321819112;"https://www.ese.com/fr/accueil/";;7323;;;;;;;;;
"CONSTELLIUM EXTRUSIONS FRANCE";662032374;"https://softalloys.constellium.com/fr/nuits-saint-georges-france";;7601;;;;;;;;;
"ANGEL FRANCE";515720647;;1;;;;;;;;;;
"ACOEM FRANCE";409869708;"https://www.acoem.com/en/";;;;;;;;;;1;
"AVX FRANCE";552064230;"https://www.kyocera-avx.com/products";;8542;;;;;;;;;
"FRANCE EQUIPEMENT";337688212;"https://www.franceequipement.com/";;8505;6813;8205;8484;8455;8544;8482;;;
"AMCOR FLEXIBLE CAPSULES FRANCE";348390626;"https://www.amcor.com/";;8309;7010;3923;;;;;;;
"ANGEL FRANCE";515720647;"https://www.angelplayingcards.com/en/";;9504;;;;;;;;;
"ANGEL FRANCE";515720647;"https://www.lafrenchfab.fr/entreprise/gaming-partners-international-sas/";;9504;;;;;;;;;
"EXCENT FRANCE";642030357;"https://www.excent.fr/";;;;;;;;;;1;
"DRAKA COMTEQ FRANCE";393525993;"https://industrie.usinenouvelle.com/fiche/etablissement/draka-comteq-france-53303249";;2731;;;;;;;;;
"EUROVIA BOURGOGNE FRANCHE - COMTE";348899295;"https://www.eurovia.fr/";;6810;;;;;;;;;
"ETABLISSEMENTS CHAYS FRERES";612820316;"https://industrie.usinenouvelle.com/fiche/etablissement/etablissements-chays-freres-84499729";;2301;;;;;;;;;
"FRESARD COMPOSANTS";382722239;"https://www.fresardwatch.com/";;6802;7114;8542;9105;9113;9101;9102;;;
"FROMAGERIE DE CLERVAL";712820620;"https://industrie.usinenouvelle.com/fiche/etablissement/fromagerie-de-clerval-67632674";;406;;;;;;;;;
"FROMAGERIE BADOZ";393280052;"https://www.fromagerie-badoz.com";;406;;;;;;;;;
"FROMAGERIES ARNAUD FRERES";625880109;"https://www.juraflore.com/fr";;406;;;;;;;;;
"FRUEHAUF";693650194;"https://www.fruehauf.com/";;8716;8428;;;;;;;;
"FRUYTIER BOURGOGNE";500302393;"http://www.fruytierbourgogne.com";;4409;;;;;;;;;
"CASTMETAL FWF";414721308;;1;;;;;;;;;;
"G F D";341165801;"https://www.vis-express.fr/fr/supplier/4-gfd";;7318;;;;;;;;;
"G.H.PRODUCTION";440216158;"https://www.global-hygiene.com/fr/";;4818;;;;;;;;;
"ETABLISSEMENTS GABRIEL BOUDIER";15753981;"https://boudier.com/";;2208;;;;;;;;;
"GADEST";15550882;"https://industrie.usinenouvelle.com/fiche/etablissement/gadest-43717109";;7322;;;;;;;;;
"GALVANOPLAST";414911891;"https://www.galvanoplast.com/";;8543;3810;8311;;;;;;;
"GCBAT BOURGOGNE - FRANCHE COMTE";424062537;"https://gcbat.fr/";;8479;;;;;;;;;
"GEBAT CONSTRUCTIONS";422791137;"https://www.gebat-constructions.fr/";;;;;;;;;;1;
"GAZEL ENERGIE GENERATION";399361468;"https://gazelenergie.fr/";;7312;;;;;;;;;
"GEODIS AUTOMOTIVE EST";398619445;"https://geodis.com/";;;;;;;;;;1;
"ENTREPRISE GEORGES BOUHET";332759448;;1;;;;;;;;;;
"GEOTEC";778196501;"https://www.geotec.fr/fr";;;;;;;;;;1;
"GEOTEC";778196501;"https://www.geotec.fr/fr";;;;;;;;;;1;
"GEOTEC";778196501;"https://www.geotec.fr/fr";;;;;;;;;;1;
"GEOTEC";778196501;"https://www.geotec.fr/fr";;;;;;;;;;1;
"GERRESHEIMER CHALON";702950288;"https://www.gerresheimer.com/unternehmen/standorte/chalon-frankreich";;7002;;;;;;;;;
"FIDAY GESTION";330606823;"https://industrie.usinenouvelle.com/fiche/etablissement/fiday-gestion-47813169";;8505;;;;;;;;;
"GINGER CEBTP";412442519;"https://www.ginger-cebtp.com/";;;;;;;;;;1;
"CONSTRUCTIONS DE GIORGI";304540883;"http://www.de-giorgi.fr";;;;;;;;;;1;
"DALITUB ETABLISSEMENTS GONZALEZ ET FILS";646950600;"https://industrie.usinenouvelle.com/fiche/etablissement/dalitub-etablissements-gonzalez-et-fils-84612419";;8207;;;;;;;;;
"DALITUB ETABLISSEMENTS GONZALEZ ET FIL";646950600;"http://www.dalitub.fr";;8702;;;;;;;;;
"GRAND-PERRET";647050616;"https://www.faiveleyplast.com/fr/";;3925;3926;;;;;;;;
"EQIOM GRANULATS";333892610;"https://www.eqiom.com/";;2517;;;;;;;;;
"GRANULATS BOURGOGNE AUVERGNE";421197906;;1;;;;;;;;;;
"GRANULATS DE FRANCHE COMTE";482865136;;1;;;;;;;;;;
"GREIF FLEXIBLES FRANCE";448681064;"https://www.greif-flexibles-france.fr/";;3923;;;;;;;;;
"GROUPE BIGARD";776221467;"https://www.groupebigard.fr/";;201;202;203;206;;;;;;
"GRUPO ANTOLIN BESANCON";328358734;"https://www.grupoantolin.com/";;8512;9405;;;;;;;;
"GUERNET COMPRESSEURS";500068812;"https://www.guernet.com/";;8414;8415;8512;;;;;;;
"GUILLIN EMBALLAGES";322409913;"https://www.groupeguillin.fr/";;3923;3924;;;;;;;;
"GROUPE GUILLIN";349846303;"https://www.groupeguillin.fr";;4202;;;;;;;;;
"GUILLOT COBREDA";381354000;;1;;;;;;;;;;
"GURTNER";542103635;"https://gurtner.fr/";;8481;9026;8483;8410;;;;;;
"HANES FRANCE";488727298;"https://www.dim.fr/";;6108;6115;6207;6208;;;;;;
"EMILE HENRY";418285300;"https://www.emilehenry.com/fr/fr/";;6912;4419;7321;;;;;;;
"HMY FRANCE";316016930;"https://www.hmy-group.com/";;9403;8470;;;;;;;;
"HMY";479919698;"https://www.hmy-group.com/fr";;;;;;;;;;1;
"HOLDING DUCERF";795820141;"https://www.ducerf.com";;4403;;;;;;;;;
"GE HYDRO FRANCE";327948907;"https://www.ge.com/fr/";;8407;8406;;;;;;;;
"GLOBAL HYGIENE";301331054;"http://www.global-hygiene.com/fr";;4818;;;;;;;;;
"IDEALEC";440251312;"https://industrie.usinenouvelle.com/fiche/etablissement/idealec-66432474";;8542;;;;;;;;;
"IDEX ENVIRONNEMENT";331330175;"https://www.idex-environnement.fr/a-propos/#:~:text=Idex%20Environnement%20porte%20l'activit%C3%A9,la%20valorisation%20de%20la%20biomasse.";;;;;;;;;;1;
"APERAM ALLOYS IMPHY";440326692;"https://www.aperam.com/";;7314;7403;;;;;;;;
"FRANCE BOIS IMPREGNES";564503043;"https://www.franceboisimpregnes.fr/";;4404;4403;4407;;;;;;;
"IMPRIMERIE GRESSET";625780028;;1;;;;;;;;;;
"GRPE ETUDE FAB. INDUST. COMMERC.CAOUTCH";333222214;"https://www.geficca.fr/";;8465;8477;8480;;;;;;;
"ELIMINAT.DECHETS INDUSTR.BOURGOGNE";379897903;"https://industrie.usinenouvelle.com/fiche/etablissement/eliminatdechets-industrbourgogne-100885571";;3825;;;;;;;;;
"DEKRA INDUSTRIAL";433250834;"https://www.dekra-industrial.fr/";;;;;;;;;;1;
"DEKRA INDUSTRIAL";433250834;"https://www.dekra-industrial.fr";;;;;;;;;;1;
"DEKRA INDUSTRIAL";433250834;"https://www.dekra-industrial.fr/";;;;;;;;;;1;
"EMBALTECH INDUSTRIE";810672261;"https://www.usinenouvelle.com/article/embaltech-renforce-son-outil-productif-a-saint-florentin-dans-l-yonne.N176999";;7322;;;;;;;;;
"DIAGER INDUSTRIE";413465055;"https://www.diager-industrie.com/";;8205;8460;;;;;;;;
"BOUVARD ALINA INDUSTRIE";302456991;"http://www.biscuits-bouvard.com/";;1905;;;;;;;;;
"BONNEFOY BETON CARRIERES INDUSTRIE";424350536;"https://www.groupe-bonnefoy.fr/";;6810;3824;;;;;;;;
"CLERC INDUSTRIE";379772387;;1;;;;;;;;;;
"DFI DELLE FONDERIE INDUSTRIELLE";434026290;"https://entreprises.lefigaro.fr/dfi-delle-fonderie-industrielle-90/entreprise-434026290";;3810;;;;;;;;;
"CONFLANDEY INDUSTRIES";488559634;"https://www.conflandey-industries.com/fr";;7408;;;;;;;;;
"F.M. INDUSTRIES";392056354;"https://www.groupe-fmindustries-sycrilor.ch";;7113;;;;;;;;;
"INOVYN FRANCE";625780135;"https://www.inovyn.com/fr/inovyn-tavaux/Localisation/qui-sommes-nous";;3904;;;;;;;;;
"INTERCONTROLE";305254526;"https://www.intercontrole.com/";;;;;;;;;;1;
"ADIENT INTERIORS FRANCE";519291447;"https://www.adient.com/";;9401;;;;;;;;;
"APAVE INTERNATIONAL";775581812;"https://www.apave.com/fr-FR/";;;;;;;;;;1;
"CONIMAST INTERNATIONAL";342761095;"https://www.conimast.fr/";;9405;;;;;;;;;
"CAMUSAT INTERNATIONAL";444632376;"https://www.camusat.com/fr/";;;;;;;;;;1;
"INTERTEK FRANCE";302607486;"https://www.intertek-france.com/";;;;;;;;;;1;
"INVENTIVA";537530255;"https://inventivapharma.com/fr";;;;;;;;;;1;
"ISA FRANCE";331595793;;1;;;;;;;;;;
"ISERBA";793797283;"https://www.iserba.fr/";;;;;;;;;;1;
"ISOLA COMPOSITE FRANCE";536620040;"https://www.isolacomposite.com/fr";;6806;;;;;;;;;
"ISOSIGN";494922313;"https://isosign.fr";;8530;;;;;;;;;
"ITRON FRANCE";434027249;"https://www.itron.com/fr";;8542;;;;;;;;;
"J.C. BONNEFOY";301422622;"https://www.groupe-bonnefoy.fr";;;;;;;;;;1;
"FROMAGERIE JACQUES DELIN";379848005;"https://www.fromagerie-delin.com";;406;;;;;;;;;
"FROMAGERIE JACQUES DELIN";379848005;"https://www.fromagerie-delin.com";;406;;;;;;;;;
"DARGAUD ET JAEGLE";685450371;"http://www.dargaud-jaegle.com/fr/";;4415;;;;;;;;;
"JARDIMAT";722820503;"https://www.jardimat.fr";;8302;;;;;;;;;
"JAVEY";335040374;"https://www.javey.com/javey/";;7610;7308;;;;;;;;
"ETABLISSEMENTS BOBARD JEUNE";317356632;"http://www.bobard.com";;8436;;;;;;;;;
"JF HILLEBRAND FRANCE";392166781;"https://www.hillebrand.com/";;;;;;;;;;1;
"JOVID'OR";392929444;;1;;;;;;;;;;
