'dep_epci';'siren_epci';'nom_complet';'nj_epci2021';'fisc_epci2021';'nb_com_2021';'ptot_epci_2021';'pmun_epci_2021'
'17';241700640;'CA Royan Atlantique';'CA';'FPU';33;84950;83171
'17';241700699;'CC du Bassin de Marennes';'CC';'FPU';6;15752;15436
'18';200000933;'CC Sauldre et Sologne';'CC';'FA';14;14895;14597
'18';200007177;'CC Pays de Nérondes';'CC';'FPU';12;5012;4879
'18';200011781;'CC Portes du Berry entre Loire et Val d''Aubois';'CC';'FPU';12;9841;9663
'18';200027076;'CC Arnon Boischaut Cher';'CC';'FA';18;8276;8109
'18';200032514;'CC Berry-Loire-Vauvise';'CC';'FA';14;5608;5508
'18';200036135;'CC Coeur de France';'CC';'FA';19;18793;18315
'18';200049484;'CC Berry Grand Sud';'CC';'FPU';32;11936;11721
'18';200066330;'CC Terres du Haut Berry';'CC';'FPU';30;26522;26017
'18';200069227;'CC Pays Fort Sancerrois Val de Loire';'CC';'FA';36;18908;18476
'18';200070571;'CC Coeur de Berry';'CC';'FA';11;7046;6912
'18';200090561;'CC Vierzon-Sologne-Berry';'CC';'FPU';16;39697;38952
'18';241800374;'CC la Septaine';'CC';'FPU';15;11010;10774
'18';241800424;'CC le Dunois';'CC';'FA';17;7647;7507
'18';241800432;'CC les Trois Provinces';'CC';'FA';11;5218;5146
'18';241800457;'CC Fercher Pays Florentais';'CC';'FA';9;11702;11527
'18';241800507;'CA Bourges Plus';'CA';'FPU';17;105860;102679
'19';200043172;'CA du Bassin de Brive';'CA';'FPU';48;110303;107507
'19';200066603;'CC du Pays de Lubersac-Pompadour';'CC';'FPU';12;7673;7536
'19';200066645;'CC Vézère-Monédières-Millesources';'CC';'FPU';19;5177;5007
'19';200066744;'CC Haute-Corrèze Communauté';'CC';'FPU';71;34626;33330
'19';200066751;'CC Xaintrie Val''Dordogne';'CC';'FPU';30;11706;11396
'19';200066769;'CC Midi Corrézien';'CC';'FPU';34;13333;12997
'19';241900133;'CC de Ventadour - Egletons - Monédières';'CC';'FPU';20;11102;10170
'19';241927201;'CA Tulle Agglo';'CA';'FPU';43;46148;44544
'19';241927243;'CC du Pays d''Uzerche';'CC';'FPU';12;10004;9808
'21';200000925;'CC de la Plaine Dijonnaise';'CC';'FPU';22;22425;22004
'21';200006682;'CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay';'CA';'FPU';53;52958;51395
'21';200039055;'CC Ouche et Montagne';'CC';'FPU';32;11007;10812
'21';200039063;'CC Forêts, Seine et Suzon';'CC';'FPU';25;7107;6997
'21';200069540;'CC Norge et Tille';'CC';'FPU';14;16266;15968
'21';200070894;'CC de Gevrey-Chambertin et de Nuits-Saint-Georges';'CC';'FPU';55;30484;29743
'21';200070902;'CC Auxonne Pontailler Val de Saône';'CC';'FPU';35;23703;23383
'21';200070910;'CC Tille et Venelle';'CC';'FPU';18;5054;4962
'21';200071017;'CC des Terres d''Auxois';'CC';'FPU';76;16458;15815
'21';200071173;'CC du Pays Arnay Liernais';'CC';'FA';34;7266;7129
'21';200071207;'CC de Pouilly en Auxois/Bligny sur Ouche';'CC';'FA';47;8886;8569
'21';200072825;'CC Mirebellois et Fontenois';'CC';'FPU';32;12828;12604
'21';242100154;'CC des Vallées de la Tille et de l''Ignon';'CC';'FPU';23;13820;13631
'21';242100410;'Dijon Métropole';'METRO';'FPU';23;259087;253859
'21';242101434;'CC du Pays Châtillonnais';'CC';'FA';107;20518;19790
'21';242101442;'CC de Saulieu';'CC';'FA';12;5464;5301
'21';242101459;'CC du Pays d''Alésia et de la Seine';'CC';'FPU';24;7644;7496
'21';242101491;'CC du Montbardois';'CC';'FPU';33;10837;10583
'21';242101509;'CC Rives de Saône';'CC';'FPU';38;20935;20532
