'dept';'siren';'raison_sociale';'nature_juridique';'mode_financ';'nb_membres';'total_pop_tot';'total_pop_mun';'dep_com';'insee';'siren_membre';'nom_membre';'ptot_2021';'pmun_2021'
'01';200042497;'CC Dombes Saône Vallée';'CC';'FPU';19;39678;38587;'01';'01157';210101572;'Fareins';2254;2213
'01';200042497;'CC Dombes Saône Vallée';'CC';'FPU';19;39678;38587;'01';'01347';210103479;'Saint-Didier-de-Formans';2059;1997
'01';200042497;'CC Dombes Saône Vallée';'CC';'FPU';19;39678;38587;'01';'01250';210102505;'Misérieux';2195;1944
'01';200042497;'CC Dombes Saône Vallée';'CC';'FPU';19;39678;38587;'01';'01105';210101051;'Civrieux';1809;1755
'01';200042497;'CC Dombes Saône Vallée';'CC';'FPU';19;39678;38587;'01';'01005';210100053;'Ambérieux-en-Dombes';1744;1720
'01';200042497;'CC Dombes Saône Vallée';'CC';'FPU';19;39678;38587;'01';'01353';210103537;'Sainte-Euphémie';1703;1676
'01';200042497;'CC Dombes Saône Vallée';'CC';'FPU';19;39678;38587;'01';'01446';210104469;'Villeneuve';1557;1521
'01';200042497;'CC Dombes Saône Vallée';'CC';'FPU';19;39678;38587;'01';'01339';210103396;'Saint-Bernard';1474;1432
'01';200042497;'CC Dombes Saône Vallée';'CC';'FPU';19;39678;38587;'01';'01021';210100210;'Ars-sur-Formans';1455;1427
'01';200042497;'CC Dombes Saône Vallée';'CC';'FPU';19;39678;38587;'01';'01398';210103982;'Savigneux';1375;1359
'01';200042497;'CC Dombes Saône Vallée';'CC';'FPU';19;39678;38587;'01';'01285';210102851;'Parcieux';1250;1221
'01';200042497;'CC Dombes Saône Vallée';'CC';'FPU';19;39678;38587;'01';'01423';210104238;'Toussieux';1134;1114
'01';200042497;'CC Dombes Saône Vallée';'CC';'FPU';19;39678;38587;'01';'01030';210100301;'Beauregard';863;848
'01';200042497;'CC Dombes Saône Vallée';'CC';'FPU';19;39678;38587;'01';'01362';210103628;'Saint-Jean-de-Thurigneux';789;775
'01';200042497;'CC Dombes Saône Vallée';'CC';'FPU';19;39678;38587;'01';'01318';210103180;'Rancé';743;726
'01';200042935;'CA Haut - Bugey Agglomération';'CA';'FPU';42;64922;63099;'01';'01283';210102836;'Oyonnax';22808;22336
'01';200042935;'CA Haut - Bugey Agglomération';'CA';'FPU';42;64922;63099;'01';'01185';200086122;'Plateau d''Hauteville';5033;4856
'01';200042935;'CA Haut - Bugey Agglomération';'CA';'FPU';42;64922;63099;'01';'01031';210100319;'Bellignat';3865;3632
'01';200042935;'CA Haut - Bugey Agglomération';'CA';'FPU';42;64922;63099;'01';'01265';210102653;'Montréal-la-Cluse';3490;3419
'01';200042935;'CA Haut - Bugey Agglomération';'CA';'FPU';42;64922;63099;'01';'01269';210102695;'Nantua';3544;3410
'01';200042935;'CA Haut - Bugey Agglomération';'CA';'FPU';42;64922;63099;'01';'01014';210100145;'Arbent';3449;3356
'01';200042935;'CA Haut - Bugey Agglomération';'CA';'FPU';42;64922;63099;'01';'01192';210101929;'Izernore';2316;2255
'01';200042935;'CA Haut - Bugey Agglomération';'CA';'FPU';42;64922;63099;'01';'01148';210101481;'Dortan';1900;1854
'01';200042935;'CA Haut - Bugey Agglomération';'CA';'FPU';42;64922;63099;'01';'01237';210102372;'Martignat';1711;1647
'01';200042935;'CA Haut - Bugey Agglomération';'CA';'FPU';42;64922;63099;'01';'01181';210101812;'Groissiat';1286;1235
'01';200042935;'CA Haut - Bugey Agglomération';'CA';'FPU';42;64922;63099;'01';'01170';210101705;'Béard-Géovreissiat';1092;1064
'01';200042935;'CA Haut - Bugey Agglomération';'CA';'FPU';42;64922;63099;'01';'01373';210103735;'Saint-Martin-du-Frêne';1069;1038
'01';200042935;'CA Haut - Bugey Agglomération';'CA';'FPU';42;64922;63099;'01';'01267';210102679;'Nurieux-Volognat';1050;1027
'01';200042935;'CA Haut - Bugey Agglomération';'CA';'FPU';42;64922;63099;'01';'01171';210101713;'Géovreisset';898;856
'01';200042935;'CA Haut - Bugey Agglomération';'CA';'FPU';42;64922;63099;'01';'01307';210103073;'Port';863;842
'01';200042935;'CA Haut - Bugey Agglomération';'CA';'FPU';42;64922;63099;'01';'01152';210101523;'Échallon';770;750
'01';200042935;'CA Haut - Bugey Agglomération';'CA';'FPU';42;64922;63099;'01';'01204';200053395;'Le Poizat-Lalleyriat';744;729
'01';200042935;'CA Haut - Bugey Agglomération';'CA';'FPU';42;64922;63099;'01';'01441';210104410;'Vieu-d''Izenave';730;713
'01';200042935;'CA Haut - Bugey Agglomération';'CA';'FPU';42;64922;63099;'01';'01392';210103925;'Samognat';677;650
'01';200042935;'CA Haut - Bugey Agglomération';'CA';'FPU';42;64922;63099;'01';'01228';210102281;'Maillat';662;648
'01';200042935;'CA Haut - Bugey Agglomération';'CA';'FPU';42;64922;63099;'01';'01080';200056695;'Champdor-Corcelles';657;643
'01';200042935;'CA Haut - Bugey Agglomération';'CA';'FPU';42;64922;63099;'01';'01274';210102745;'Les Neyrolles';657;642
'01';200042935;'CA Haut - Bugey Agglomération';'CA';'FPU';42;64922;63099;'01';'01240';210102406;'Matafelon-Granges';649;633
'01';200042935;'CA Haut - Bugey Agglomération';'CA';'FPU';42;64922;63099;'01';'01063';210100632;'Brion';538;531
'01';200042935;'CA Haut - Bugey Agglomération';'CA';'FPU';42;64922;63099;'01';'01060';210100608;'Brénod';521;500
'01';200042935;'CA Haut - Bugey Agglomération';'CA';'FPU';42;64922;63099;'01';'01112';210101127;'Condamine';450;432
'01';200042935;'CA Haut - Bugey Agglomération';'CA';'FPU';42;64922;63099;'01';'01011';210100111;'Apremont';384;373
'01';200042935;'CA Haut - Bugey Agglomération';'CA';'FPU';42;64922;63099;'01';'01012';210100129;'Aranc';333;329
'01';200042935;'CA Haut - Bugey Agglomération';'CA';'FPU';42;64922;63099;'01';'01035';210100350;'Belleydoux';320;312
'01';200042935;'CA Haut - Bugey Agglomération';'CA';'FPU';42;64922;63099;'01';'01410';210104105;'Sonthonnax-la-Montagne';313;306
'01';200042935;'CA Haut - Bugey Agglomération';'CA';'FPU';42;64922;63099;'01';'01087';210100871;'Charix';291;281
'01';200042935;'CA Haut - Bugey Agglomération';'CA';'FPU';42;64922;63099;'01';'01206';210102067;'Lantenay';283;277
'01';200042935;'CA Haut - Bugey Agglomération';'CA';'FPU';42;64922;63099;'01';'01282';210102828;'Outriaz';265;259
'01';200042935;'CA Haut - Bugey Agglomération';'CA';'FPU';42;64922;63099;'01';'01067';210100673;'Ceignes';267;254
'01';200042935;'CA Haut - Bugey Agglomération';'CA';'FPU';42;64922;63099;'01';'01191';210101911;'Izenave';161;157
'01';200042935;'CA Haut - Bugey Agglomération';'CA';'FPU';42;64922;63099;'01';'01214';210102141;'Leyssard';161;155
